주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명
140-2-000007,서3동제1공영주차장,공영,노외,부산광역시 금정구 서동 37-7,43,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000008,서3동제2공영주차장,공영,노외,부산광역시 금정구 서동 410-3,29,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000009,서3동제3공영주차장,공영,노외,부산광역시 금정구 서동 167-4,22,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000010,서동미로시장공영주차장,공영,노외,부산광역시 금정구 서동 190-9,145,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000011,서3동제5공영주차장,공영,노외,부산광역시 금정구 서동 40-3,33,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000012,금사동제1공영주차장,공영,노외,부산광역시 금정구 금사동 527-3,49,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000013,금사동제2공영주차장,공영,노외,부산광역시 금정구 금사동 388-8,32,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000014,부곡2동공영주차장,공영,노외,부산광역시 금정구 부곡동 294-20,78,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000015,부곡4동공영주차장,공영,노외,부산광역시 금정구 부곡동 768-39,32,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000016,온천장북측공영주차장,공영,노외,부산광역시 금정구 부곡동 896-3,185,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10,300,부산광역시 금정구청
140-2-000018,남산동꽃님공영주차장,공영,노외,부산광역시 금정구 남산동 967-1,46,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000019,구서1동공영주차장,공영,노외,부산광역시 금정구 구서동 87-50,43,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000020,두실공영주차장,공영,노외,부산광역시 금정구 구서동 1052,66,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000021,범어사상마공영주차장,공영,노외,부산광역시 금정구 청룡동 439-1,115,0:00,23:59,0:00,23:59,0:00,23:59,0,0,0,0,부산광역시 금정구청
140-2-000028,구서동만남의광장공영주차장,공영,노외,부산광역시 금정구 구서동 481-1,107,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000029,부곡4동삼차로공영주차장,공영,노외,부산광역시 금정구 부곡동 737-165,70,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-1-000030,금정구청후문노상공영주차장,공영,노상,부산광역시 금정구 부곡동 78,13,8:00,20:00,8:00,15:00,0:00,0:00,10,200,10,200,부산광역시 금정구청
140-1-000031,SK아파트뒤노상공영주차장,공영,노상,부산광역시 금정구 부곡동 63-11,20,8:00,20:00,8:00,15:00,0:00,0:00,10,200,10,200,부산광역시 금정구청
140-2-000032,선동공영주차장,공영,노외,부산광역시 금정구 청룡동 439-1,52,0:00,23:59,0:00,23:59,0:00,23:59,0,0,0,0,부산광역시 금정구청
140-2-000033,오륜동공영주차장,공영,노외,부산광역시 금정구 청룡동 439-1,47,0:00,23:59,0:00,23:59,0:00,23:59,0,0,0,0,부산광역시 금정구청
142-2-000014,황금로 공영주차장,공영,노외,부산광역시 연제구 연산동 1811-555,54,0:00,23:59,0:00,23:59,0:00,23:59,10,100,,,부산광역시 연제구청
